gen,form,brand,listings,share_pct,new_median_eur_gb,used_median_eur_gb
ddr3,server,Supermicro,297,23.6,,1.81
ddr3,server,Micron,197,15.7,,1.36
ddr3,server,Samsung,173,13.8,5.72,1.77
ddr3,server,other,147,11.7,2.49,1.81
ddr3,server,SK Hynix,136,10.8,1.56,1.81
ddr3,server,HP,99,7.9,5.72,3.48
ddr3,server,Lenovo,65,5.2,5.72,1.81
ddr3,server,Dell,63,5.0,,3.48
ddr3,server,Kingston,28,2.2,,1.93
ddr3,server,Acer/Predator,24,1.9,2.49,
ddr3,server,Nanya,13,1.0,,3.64
ddr3,server,Elpida,10,0.8,,1.81
ddr3,sodimm,other,519,30.3,4.6,2.87
ddr3,sodimm,Samsung,290,16.9,3.74,3.0
ddr3,sodimm,SK Hynix,126,7.4,3.77,2.99
ddr3,sodimm,Lenovo,106,6.2,4.51,4.25
ddr3,sodimm,ASUS,86,5.0,5.4,4.25
ddr3,sodimm,HP,75,4.4,4.6,2.86
ddr3,sodimm,Kingston,70,4.1,3.54,2.74
ddr3,sodimm,Dell,52,3.0,5.4,2.86
ddr3,sodimm,Acer/Predator,50,2.9,5.4,2.86
ddr3,sodimm,Crucial,45,2.6,2.9,3.49
ddr3,sodimm,Micron,42,2.5,,3.12
ddr3,sodimm,QNAP/Synology,42,2.5,4.51,2.86
ddr3,sodimm,Medion,38,2.2,4.51,2.86
ddr3,sodimm,Elpida,30,1.8,,2.74
ddr3,sodimm,Ramaxel,24,1.4,,2.34
ddr3,sodimm,ADATA/XPG,23,1.3,,2.95
ddr3,sodimm,Nanya,17,1.0,,2.95
ddr3,sodimm,Elixir,13,0.8,,2.48
ddr3,sodimm,G.Skill,12,0.7,6.67,2.87
ddr3,sodimm,MSI,12,0.7,5.4,2.86
ddr3,sodimm,Corsair,11,0.6,,3.18
ddr3,sodimm,Transcend,8,0.5,,2.89
ddr3,sodimm,Apple,5,0.3,,2.92
ddr3,udimm,Samsung,547,28.7,2.12,2.26
ddr3,udimm,other,396,20.7,4.31,2.36
ddr3,udimm,Kingston,182,9.5,4.37,2.54
ddr3,udimm,Corsair,112,5.9,3.75,2.68
ddr3,udimm,G.Skill,99,5.2,6.69,2.89
ddr3,udimm,Crucial,82,4.3,2.73,2.65
ddr3,udimm,SK Hynix,67,3.5,3.49,2.5
ddr3,udimm,HP,55,2.9,3.02,3.62
ddr3,udimm,ASUS,52,2.7,4.58,
ddr3,udimm,Micron,41,2.1,,2.7
ddr3,udimm,Medion,36,1.9,5.4,
ddr3,udimm,Gigabyte/Aorus,29,1.5,4.58,
ddr3,udimm,Elixir,24,1.3,,2.45
ddr3,udimm,Dell,22,1.2,5.46,16.62
ddr3,udimm,Acer/Predator,21,1.1,5.4,
ddr3,udimm,Geil,17,0.9,,2.53
ddr3,udimm,TeamGroup,12,0.6,,2.52
ddr3,udimm,Nanya,12,0.6,,5.7
ddr3,udimm,HyperX,11,0.6,,3.98
ddr3,udimm,Lenovo,11,0.6,4.58,
ddr3,udimm,Mushkin,10,0.5,,2.81
ddr3,udimm,ADATA/XPG,9,0.5,,1.94
ddr3,udimm,MSI,9,0.5,4.58,
ddr3,udimm,Xum,8,0.4,2.36,
ddr3,udimm,Patriot,8,0.4,4.2,2.81
ddr3,udimm,Ramaxel,8,0.4,,1.7
ddr3,udimm,Transcend,7,0.4,,3.48
ddr3,udimm,Elpida,6,0.3,,3.54
ddr4,server,other,480,22.9,8.4,6.89
ddr4,server,Micron,391,18.6,10.0,5.82
ddr4,server,SK Hynix,357,17.0,7.59,4.99
ddr4,server,Supermicro,343,16.3,6.99,6.82
ddr4,server,Samsung,159,7.6,12.48,5.06
ddr4,server,Lenovo,121,5.8,12.48,5.97
ddr4,server,HP,104,5.0,6.99,5.97
ddr4,server,Dell,94,4.5,6.84,5.97
ddr4,server,Kingston,20,1.0,10.56,3.51
ddr4,server,Crucial,12,0.6,,5.38
ddr4,server,ASUS,9,0.4,6.35,
ddr4,sodimm,other,1572,38.1,6.84,5.07
ddr4,sodimm,Crucial,548,13.3,8.74,5.66
ddr4,sodimm,Samsung,490,11.9,6.72,4.69
ddr4,sodimm,Kingston,259,6.3,14.74,5.1
ddr4,sodimm,SK Hynix,251,6.1,6.17,4.62
ddr4,sodimm,HP,161,3.9,6.84,21.85
ddr4,sodimm,Micron,140,3.4,5.89,4.57
ddr4,sodimm,Lenovo,126,3.1,7.69,5.34
ddr4,sodimm,Dell,75,1.8,6.79,22.38
ddr4,sodimm,Corsair,72,1.7,9.05,5.59
ddr4,sodimm,ADATA/XPG,54,1.3,11.87,4.69
ddr4,sodimm,G.Skill,51,1.2,10.18,5.51
ddr4,sodimm,Lexar,44,1.1,9.54,5.77
ddr4,sodimm,Gigabyte/Aorus,36,0.9,6.09,
