gen,form,total_gb,kit,new_lots,new_sellers,new_min,new_p25,new_fast,new_med,new_p75,new_eur_gb,used_lots,used_sellers,used_min,used_p25,used_fast,used_med,used_p75,used_eur_gb,top_brands,top_speeds,vel_sampled,vel_active,vel_sold_total,vel_median_units_per_week_per_listing,vel_sum_units_per_week,cross_fast_landed,cross_best_vs_de_new
ddr2,udimm,4,1x,0,0,,,,,,,1,1,14.8,,14.8,14.8,,3.7,Elixir:1,,0,0,0,,,,
ddr2,udimm,4,kit,0,0,,,,,,,1,1,41.19,,41.19,41.19,,10.3,other:1,,0,0,0,,,,
ddr3,server,2,1x,0,0,,,,,,,2,2,8.05,,9.88,9.88,,4.94,SK Hynix:1; Samsung:1,1333:2,0,0,0,,,,
ddr3,server,4,1x,111,1,22.9,,22.9,22.9,,5.72,292,21,4.39,6.11,5.8,7.7,11.43,1.93,Supermicro:96; HP:64; Samsung:58; other:46,1333:377; 1600:15; 1066:8,8,5,11,0.0,0.0,,
ddr3,server,8,1x,48,3,11.7,,19.9,19.9,,2.49,138,60,6.0,9.9,6.95,12.93,19.0,1.62,Samsung:61; other:38; SK Hynix:21; Micron:17,1333:114; 1600:40; 1066:20,8,4,27,0.02,0.2,,
ddr3,server,8,kit,1,1,11.79,,11.79,11.79,,1.47,7,7,8.6,10.0,11.8,13.18,25.99,1.65,HP:3; Samsung:3; Nanya:1; Kingston:1,1333:4; 1600:1,0,0,0,,,,
ddr3,server,12,kit,0,0,,,,,,,2,1,22.98,,22.98,22.98,,1.92,Kingston:2,1333:2,0,0,0,,,,
ddr3,server,16,1x,13,5,24.99,24.99,34.9,34.9,41.04,2.18,538,31,7.9,19.0,12.49,22.85,28.0,1.43,Supermicro:199; Micron:151; SK Hynix:80; other:26,1600:344; 1866:184; 1333:15,8,5,29,0.15,3.4,,
ddr3,server,16,kit,2,2,14.99,,33.99,33.99,,2.12,24,20,12.9,19.62,15.7,24.6,44.93,1.54,Samsung:8; SK Hynix:4; Kingston:3; HP:3,1333:12; 1600:10; 1066:2,0,0,0,,,,
ddr3,server,24,1x,0,0,,,,,,,1,1,200.0,,200.0,200.0,,8.33,Apple:1,,0,0,0,,,,
ddr3,server,24,kit,0,0,,,,,,,6,6,21.19,23.97,29.99,30.59,41.58,1.27,SK Hynix:2; Samsung:1; Dell:1; other:1,1333:3; 1600:1; 1866:1,0,0,0,,,,
ddr3,server,32,1x,1,1,39.0,,39.0,39.0,,1.22,6,4,7.9,13.58,33.31,33.31,46.49,1.04,Samsung:3; other:1; HP:1; Micron:1,1333:4; 1066:1,0,0,0,,,,
ddr3,server,32,kit,1,1,53.9,,53.9,53.9,,1.68,24,20,21.0,29.29,25.19,36.14,51.65,1.13,Samsung:9; SK Hynix:5; other:5; Lenovo:2,1600:9; 1333:9; 1066:1,0,0,0,,,,
ddr3,server,48,kit,0,0,,,,,,,2,2,34.59,,39.84,39.84,,0.83,Kingston:1; Micron:1,,0,0,0,,,,
ddr3,server,64,1x,0,0,,,,,,,1,1,56.19,,56.19,56.19,,0.88,Samsung:1,1600:1,0,0,0,,,,
ddr3,server,64,kit,0,0,,,,,,,7,5,42.0,51.5,66.8,66.8,89.7,1.04,Samsung:1; Crucial:1; SK Hynix:1; other:1,1600:4; 1866:2; 1066:1,0,0,0,,,,
ddr3,server,96,kit,0,0,,,,,,,1,1,70.0,,70.0,70.0,,0.73,Samsung:1,1600:1,0,0,0,,,,
ddr3,server,128,kit,28,1,195.0,,195.0,195.0,,1.52,2,2,155.19,,174.59,174.59,,1.36,other:28; HP:1; SK Hynix:1,1600:29; 1066:1,0,0,0,,,,
ddr3,sodimm,1,1x,0,0,,,,,,,18,17,3.33,4.87,4.8,6.0,7.79,6.0,other:6; Micron:5; SK Hynix:4; Elpida:2,1066:8; 1333:7,0,0,0,,,,
ddr3,sodimm,2,1x,4,3,8.1,,10.99,10.99,,5.5,235,94,3.29,6.07,3.74,8.62,11.8,4.31,other:41; Lenovo:40; Samsung:39; SK Hynix:27,1333:131; 1600:31; 1066:26,8,8,147,0.03,0.7,,
